image_id,image_path,caption
1,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG063.jpg,Carved gopuram with colorful deities.
2,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG058.jpg,Carved gopuram with colorful deities.
3,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG055.jpg,"A yazhi,often craved on pillars. It consist of Lion face, Horse body and power like elephant. "
4,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG054.jpg,"Bala Vinayagar, Ganesha during his childhood days."
5,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG053.jpg,Mushigam(Mouse) vehicle for Lord Ganesha
6,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG052.jpg,Mushigam(Mouse) vehicle for Lord Ganesha
7,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG051.jpg,Mushigam(Mouse) vehicle for Lord Ganesha
8,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG050.jpg,Different types of Vel. It is a weapon for Lord Murugar
9,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG049.jpg,it is a ceremony for Lord Murugar where every people come to see him by taking Kavadi
10,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG048.jpg,"Lord Murugar with his two Wives (Deivanai, Valli)"
11,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG047.jpg,"Lord Murugar with his two Wives (Deivanai, Valli) and Brother Lord Ganesha"
12,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG046.jpg,"Lord Murugar with his two Wives (Deivanai, Valli)"
13,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG045.jpg,"Peacock, vehicle for Lord Murugar. It has snake in his mouth. It depecits that snake is enemy for peacock "
14,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG044.jpg,"Peacock, vehicle for Lord Murugar. It has snake in his mouth. It depecits that snake is enemy for peacock "
15,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG043.jpg,"SageBhogar, the Lord deity who stands before the lord Murugar as a Guard man."
16,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG042.jpg,"SageBhogar, the Lord deity who stands before the lord Murugar as a Guard man."
17,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG041.jpg,"Peacock, vehicle for Lord Murugar. It has snake in his mouth."
18,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG038.jpg,Lord Murugar in ancient days.
19,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG037.jpg,"A yazhi,often craved on pillars. It consist of Lion face, Horse body and power like elephant. "
20,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG036.jpg,A Chariot used during festival days to carry Lords. 
21,C:\Users\reshm\OneDrive\Desktop\temple\Vehicle\IMG035.jpg,A Chariot used during festival days to carry Lords. 
22,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG034.jpg,Carved gopuram with colorful deities.
23,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG033.jpg,Carved gopuram with colorful deities.
24,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG032.jpg,Carved gopuram with colorful deities.
25,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG031.jpg,Carved gopuram with colorful deities.
26,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG030.jpg,"A yazhi,often craved on pillars. It consist of Lion face, Horse body and power like elephant. "
27,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG029.jpg,"A women standing in tribhanga posture(three bends), a classic stance in Indian sculpture craved using prabhavalli"
28,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG028.jpg,Apsara or divine attendant meant for ornate decoration 
29,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG027.jpg,"carving of Hanuman, the monkey god and devoteed follower of Lord Ramar"
30,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG026.jpg,"Govardhanadhari krishna, lifter of govardan hill"
31,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG025.jpg,Madanika is a celestial maiden or dancer. 
32,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG024.jpg,"A yazhi,often craved on pillars. It consist of Lion face, Horse body and power like elephant. "
33,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG023.jpg,pillars of kalayana mandapam with different potraits and humans in different styles and posture
34,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG022.jpg,The Vimana is ornately carved and crowned with a golden Kalasha (sacred pot).
35,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG021.jpg,Carved gopuram with colorful deities.
36,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG020.jpg,"Lord Vishnu is the Preserver in the Hindu Trinity (Trimurti), maintaining cosmic balance."
37,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG019.jpg,A carved symbol of cow with deities of lord krishna
38,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG018.jpg,pillars of kalayana mandapam with different potraits and humans in different styles and posture
39,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG017.jpg,pillars of kalayana mandapam with different potraits and humans in different styles and posture
40,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG016.jpg,"A yazhi,often craved on pillars. It consist of Lion face, Horse body and power like elephant. "
41,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG015.jpg,"Narasimha is depicted with a human body and a lion s face, symbolizing divine power and ferocity."
42,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG014.jpg,"Hanuman represents unwavering devotion (bhakti), strength, and courage, inspiring devotees."
43,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG013.jpg,"Dvarapalaka, door guardian deity and the base of pillar also has an Yazhi"
44,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG011.jpg,Carved gopuram with colorful deities.
45,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG009.jpg,this image denotes ancient times pillars  how they carved and styled
46,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG008.jpg,Carved gopuram with colorful deities.
47,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG007.jpg,"base adhisthana, vertical wall has Bhitti and top portion has Prastara. Yazhis on the ledges "
48,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG006.jpg,"asymmetrical placement reflects the idea of harmony in diversity, a balance between elephant and bull."
49,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG005.jpg,"asymmetrical placement reflects the idea of harmony in diversity, a balance between elephant and bull."
50,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG004.jpg,"asymmetrical placement reflects the idea of harmony in diversity, a balance between elephant and bull."
51,C:\Users\reshm\OneDrive\Desktop\temple\Gopuram\IMG003.jpg,A part of temple Gopuram 
52,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG002.jpg,"Madanika/Shilabalika (temple dancer) symbolizing grace,Beauty and auspiciousness"
53,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG001.jpg,"Represents wisdom, devotion, and guardianship"
54,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG064.jpg,Mohini is depicted as a celestial enchantress in a graceful dancing pose surrounded by intricate floral designs
55,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG065.jpg,Mohini is depicted as a celestial enchantress in a graceful dancing pose surrounded by intricate floral designs
56,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG066.jpg,Mohini is depicted as a celestial enchantress in a graceful dancing pose surrounded by intricate floral designs
57,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG067.jpg,Lakshmi seated on lotus within circular frames signifies prosperity and divine beauty
58,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG068.jpg,Lakshmi seated on lotus within circular frames signifies prosperity and divine beauty
59,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG069.jpg,Lakshmi seated on lotus within circular frames signifies prosperity and divine beauty
60,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG070.jpg,Lakshmi seated on lotus within circular frames signifies prosperity and divine beauty
61,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG071.jpg,Lakshmi seated on lotus within circular frames signifies prosperity and divine beauty
62,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG072.jpg,Lakshmi seated on lotus within circular frames signifies prosperity and divine beauty
63,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG073.jpg,Vishnu and Lakshmi shown together in a loving embrace reflect divine unity
64,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG074.jpg,Vishnu seated on Adisesha holding chakra and shankha denotes protection and cosmic order
65,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG075.jpg,a female attendant figure carved simply on a pillar represents devotees or dancers
66,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG076.jpg,a male figure with red pigment on lips is likely a guardian or devotee
67,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG077.jpg,peacock motif symbolizes strength or divinity
68,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG078.jpg,a squatting man pointing could be a scene from mythology or a temple worker
69,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG079.jpg,a reclining male figure represents resting sage or deity
70,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG081.jpg,a reclining male figure represents resting sage or deity
71,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG082.jpg,a reclining male figure represents resting sage or deity
72,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG080.jpg,a male devotee with folded hands and staff likely represents a rishi or temple priest in humble reverence.
73,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG085.jpg,a male devotee with folded hands and staff likely represents a rishi or temple priest in humble reverence.
74,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG086.jpg,a male devotee with folded hands and staff likely represents a rishi or temple priest in humble reverence.
75,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG087.jpg,a male devotee with folded hands and staff likely represents a rishi or temple priest in humble reverence.
76,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG083.jpg,"The Yaksha stands powerfully with crossed legs and raised arms, a robust guardian figure often associated with wealth and nature spirits"
77,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG084.jpg,"The Yaksha stands powerfully with crossed legs and raised arms, a robust guardian figure often associated with wealth and nature spirits"
78,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG088.jpg,"the Yakshi sculpture exudes grace and fertility, her gentle stance and detailed adornments symbolizing feminine beauty and abundance"
79,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG089.jpg,"the Yakshi sculpture exudes grace and fertility, her gentle stance and detailed adornments symbolizing feminine beauty and abundance"
80,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG090.jpg,"The Bharata (from Bharata-Bhagavata) figure raises one hand in a protective gesture, evoking devotion and authority from early Jain traditions"
81,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG091.jpg,"The Bharata (from Bharata-Bhagavata) figure raises one hand in a protective gesture, evoking devotion and authority from early Jain traditions"
82,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG092.jpg,"The Bharata (from Bharata-Bhagavata) figure raises one hand in a protective gesture, evoking devotion and authority from early Jain traditions"
83,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG093.jpg,"A serene Jina sits cross-legged in meditative calm, his subtle features and composed posture representing liberation and spiritual awakening"
84,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG094.jpg,"A serene Jina sits cross-legged in meditative calm, his subtle features and composed posture representing liberation and spiritual awakening"
85,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG095.jpg,"A serene Jina sits cross-legged in meditative calm, his subtle features and composed posture representing liberation and spiritual awakening"
86,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG096.jpg,"The Dvarapala, with muscular form and a weapon in hand, leans forward in vigilant strength as the fierce temple guardian"
87,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG097.jpg,"The Dvarapala, with muscular form and a weapon in hand, leans forward in vigilant strength as the fierce temple guardian"
88,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG098.jpg,"A fluid Dancing Celestial (Apsara or Devata) figure spins gracefully, her lifted leg and flowing hair capturing divine movement"
89,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG099.jpg,"A fluid Dancing Celestial (Apsara or Devata) figure spins gracefully, her lifted leg and flowing hair capturing divine movement"
90,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG100.jpg,"A fluid Dancing Celestial (Apsara or Devata) figure spins gracefully, her lifted leg and flowing hair capturing divine movement"
91,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG101.jpg,"The Four-Armed Deity, seated in calm balance, radiates divine control with his symmetrical posture and serene expression. Towering with grandeur"
92,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG102.jpg,"The Four-Armed Deity, seated in calm balance, radiates divine control with his symmetrical posture and serene expression. Towering with grandeur"
93,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG103.jpg,"The Four-Armed Deity, seated in calm balance, radiates divine control with his symmetrical posture and serene expression. Towering with grandeur"
94,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG104.jpg,"the Vishnu with Shesha features the deity in a frontal pose, crowned and calm, as the multi-headed serpent below curls protectively"
95,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG105.jpg,"the Vishnu with Shesha features the deity in a frontal pose, crowned and calm, as the multi-headed serpent below curls protectively"
96,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG106.jpg,"the Vishnu with Shesha features the deity in a frontal pose, crowned and calm, as the multi-headed serpent below curls protectively"
97,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG107.jpg,A vibrant Dancing Shiva (Nataraja) brings dynamic energy with uplifted limbs and rhythmic motion frozen mid-performance.
98,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG108.jpg,A vibrant Dancing Shiva (Nataraja) brings dynamic energy with uplifted limbs and rhythmic motion frozen mid-performance.
99,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG109.jpg,"the Donor Figure in Anjali Mudra stands reverently with palms joined, his humble posture conveying devotion and piety."
100,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG110.jpg,"the Donor Figure in Anjali Mudra stands reverently with palms joined, his humble posture conveying devotion and piety."
101,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG111.jpg,"the Donor Figure in Anjali Mudra stands reverently with palms joined, his humble posture conveying devotion and piety."
102,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG112.jpg,"Yazhi (Vyala) is a mythical creature with a lion-like body and serpent features, symbolizing protection and strength in South Indian temple architecture."
103,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG113.jpg,"Yazhi (Vyala) is a mythical creature with a lion-like body and serpent features, symbolizing protection and strength in South Indian temple architecture."
104,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG114.jpg,"Yazhi (Vyala) is a mythical creature with a lion-like body and serpent features, symbolizing protection and strength in South Indian temple architecture."
105,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG115.jpg,"Garuda in Anjali Mudra is a depiction of Garuda, the divine eagle mount of Lord Vishnu, shown with folded hands in reverence."
106,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG116.jpg,"Garuda in Anjali Mudra is a depiction of Garuda, the divine eagle mount of Lord Vishnu, shown with folded hands in reverence."
107,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG117.jpg,"Garuda in Anjali Mudra is a depiction of Garuda, the divine eagle mount of Lord Vishnu, shown with folded hands in reverence."
108,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG118.jpg,"Painted Garuda is a painted idol of Garuda, placed in a shrine and worshipped as the devoted servant of Vishnu"
109,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG119.jpg,"Painted Garuda is a painted idol of Garuda, placed in a shrine and worshipped as the devoted servant of Vishnu"
110,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG120.jpg,"Painted Garuda is a painted idol of Garuda, placed in a shrine and worshipped as the devoted servant of Vishnu"
111,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG121.jpg,"Painted Garuda is a painted idol of Garuda, placed in a shrine and worshipped as the devoted servant of Vishnu"
112,C:\Users\reshm\OneDrive\Desktop\temple\Deity\IMG122.jpg,"Painted Garuda is a painted idol of Garuda, placed in a shrine and worshipped as the devoted servant of Vishnu"
113,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG0123.jpg,"Kirtimukha is a fierce guardian face often found above temple entrances, representing the devouring of ego and evil."
114,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG0124.jpg,"Kirtimukha is a fierce guardian face often found above temple entrances, representing the devouring of ego and evil."
115,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG0125.jpg,"Kirtimukha is a fierce guardian face often found above temple entrances, representing the devouring of ego and evil."
116,C:\Users\reshm\OneDrive\Desktop\temple\Yazhi\IMG0126.jpg,"Kirtimukha is a fierce guardian face often found above temple entrances, representing the devouring of ego and evil."
117,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG127.jpg,"Deity or Attendant Figure is a standing figure possibly representing a divine being or temple guardian, holding an attribute in one hand."
118,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG128.jpg,"Deity or Attendant Figure is a standing figure possibly representing a divine being or temple guardian, holding an attribute in one hand."
119,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG129.jpg,"Deity or Attendant Figure is a standing figure possibly representing a divine being or temple guardian, holding an attribute in one hand."
120,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG130.jpg,"Deity or Attendant Figure is a standing figure possibly representing a divine being or temple guardian, holding an attribute in one hand."
121,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG131.jpg,"Seated Devotee or Sage is a figure seated in a meditative or teaching posture, possibly a sage or saint with a gesture of explanation or blessing."
122,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG132.jpg,"Seated Devotee or Sage is a figure seated in a meditative or teaching posture, possibly a sage or saint with a gesture of explanation or blessing."
123,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG133.jpg,"Seated Devotee or Sage is a figure seated in a meditative or teaching posture, possibly a sage or saint with a gesture of explanation or blessing."
124,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG134.jpg,"Male Guardian or Attendant is a standing male figure carved in high relief, possibly representing a guard or lesser deity."
125,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG135.jpg,"Male Guardian or Attendant is a standing male figure carved in high relief, possibly representing a guard or lesser deity."
126,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG136.jpg,"Male Guardian or Attendant is a standing male figure carved in high relief, possibly representing a guard or lesser deity."
127,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG137.jpg,"Wrestling or Combat Scene is a dynamic carving showing two figures engaged in wrestling or battle, often symbolic of valor or mythological combat."
128,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG138.jpg,"Wrestling or Combat Scene is a dynamic carving showing two figures engaged in wrestling or battle, often symbolic of valor or mythological combat."
129,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG139.jpg,"Wrestling or Combat Scene is a dynamic carving showing two figures engaged in wrestling or battle, often symbolic of valor or mythological combat."
130,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG140.jpg,"Wrestling or Combat Scene is a dynamic carving showing two figures engaged in wrestling or battle, often symbolic of valor or mythological combat."
131,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG141.jpg,"Wrestling or Combat Scene is a dynamic carving showing two figures engaged in wrestling or battle, often symbolic of valor or mythological combat."
132,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG142.jpg,"Lord Rama or Warrior Deity is a majestic figure holding a bow, likely representing Rama or another warrior deity from Hindu epics."
133,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG143.jpg,"Lord Rama or Warrior Deity is a majestic figure holding a bow, likely representing Rama or another warrior deity from Hindu epics."
134,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG144.jpg,"Lord Rama or Warrior Deity is a majestic figure holding a bow, likely representing Rama or another warrior deity from Hindu epics."
135,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG145.jpg,"Lord Rama or Warrior Deity is a majestic figure holding a bow, likely representing Rama or another warrior deity from Hindu epics."
136,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG146.jpg,"Seated Sage or Devotee is a calm, seated figure in prayer posture with folded hands, likely a devotee or sage engaged in worship or penance."
137,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG147.jpg,"Seated Sage or Devotee is a calm, seated figure in prayer posture with folded hands, likely a devotee or sage engaged in worship or penance."
138,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG148.jpg,"Seated Sage or Devotee is a calm, seated figure in prayer posture with folded hands, likely a devotee or sage engaged in worship or penance."
139,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG149.jpg,"The sculpture depicts a powerful female figure, possibly a form of Durga or a guardian deity, standing dominantly with a figure subdued beneath her, symbolizing the victory of divine strength over evil forces."
140,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG150.jpg,"The sculpture depicts a powerful female figure, possibly a form of Durga or a guardian deity, standing dominantly with a figure subdued beneath her, symbolizing the victory of divine strength over evil forces."
141,C:\Users\reshm\OneDrive\Desktop\temple\Sculptures\IMG151.jpg,"The sculpture depicts a powerful female figure, possibly a form of Durga or a guardian deity, standing dominantly with a figure subdued beneath her, symbolizing the victory of divine strength over evil forces."
